,City,Province,Price,Bedrooms,Bathrooms,Acreage,Property Type,Square Footage,Garage,Parking
12719,Burnaby,BC,4320000.0,7.0,6.0,0.17,Single Family,4020.0,No,Yes
10191,Burnaby,BC,1799000.0,4.0,4.0,0.1,Single Family,1998.0,Yes,No
10192,Burnaby,BC,2368000.0,7.0,5.0,0.18,Single Family,4359.0,No,Yes
10195,Burnaby,BC,1868000.0,5.0,3.0,0.09,Single Family,2352.0,Yes,No
10206,Burnaby,BC,2299000.0,2.0,2.0,0.14,Single Family,1510.0,Yes,No
10264,Burnaby,BC,1799000.0,6.0,2.0,0.16,Single Family,2589.0,Yes,Yes
10043,Burnaby,BC,1798000.0,4.0,2.0,0.24,Single Family,2110.0,Yes,No
10143,Burnaby,BC,2150000.0,4.0,2.0,0.15,Single Family,1970.0,Yes,Yes
10279,Burnaby,BC,2498000.0,5.0,3.0,0.21,Single Family,3218.0,Yes,Yes
10501,Burnaby,BC,2200000.0,3.0,2.0,0.21,Single Family,1500.0,Yes,No
10551,Burnaby,BC,2289000.0,4.0,3.0,0.23,Single Family,2528.0,Yes,No
10343,Burnaby,BC,2188000.0,5.0,3.0,0.09,Single Family,2515.0,Yes,Yes
10351,Burnaby,BC,2198800.0,5.0,4.0,0.09,Single Family,2191.0,Yes,No
10393,Burnaby,BC,2158000.0,5.0,2.0,0.18,Single Family,2390.0,Yes,Yes
10395,Burnaby,BC,2100000.0,5.0,3.0,0.14,Single Family,2237.0,Yes,Yes
10430,Burnaby,BC,1999900.0,4.0,3.0,0.17,Single Family,2070.0,No,Yes
9560,Burnaby,BC,2399000.0,4.0,4.0,0.17,Single Family,2531.0,Yes,Yes
9566,Burnaby,BC,1850000.0,3.0,2.0,0.24,Single Family,1424.0,No,Yes
9572,Burnaby,BC,6488000.0,4.0,6.0,0.39,Single Family,5635.0,Yes,No
9579,Burnaby,BC,2888888.0,6.0,3.0,0.21,Single Family,3184.0,No,Yes
9628,Burnaby,BC,1868000.0,3.0,1.0,0.2,Single Family,1775.0,Yes,Yes
9381,Burnaby,BC,1930000.0,6.0,4.0,0.09,Single Family,2415.0,Yes,No
9639,Burnaby,BC,2249000.0,3.0,2.0,0.2,Single Family,2254.0,Yes,No
9446,Burnaby,BC,2999900.0,7.0,6.0,0.18,Single Family,3950.0,Yes,No
9517,Burnaby,BC,3898000.0,6.0,5.0,0.18,Single Family,4852.0,Yes,Yes
9655,Burnaby,BC,2650000.0,3.0,1.0,0.17,Single Family,2383.0,Yes,No
9861,Burnaby,BC,2198000.0,5.0,3.0,0.2,Single Family,2619.0,Yes,No
9888,Burnaby,BC,2598000.0,5.0,3.0,0.27,Single Family,2265.0,No,No
9900,Burnaby,BC,3800000.0,5.0,7.0,0.14,Single Family,3957.0,Yes,No
9901,Burnaby,BC,2168000.0,6.0,5.0,0.1,Single Family,2793.0,Yes,Yes
9913,Burnaby,BC,3499000.0,5.0,6.0,0.17,Single Family,4761.0,Yes,No
9922,Burnaby,BC,2588000.0,6.0,5.0,0.17,Single Family,6293.0,Yes,No
9934,Burnaby,BC,4800000.0,4.0,2.0,0.5,Single Family,2914.0,Yes,No
9959,Burnaby,BC,2675000.0,3.0,2.0,0.28,Single Family,4568.0,Yes,Yes
9673,Burnaby,BC,2198000.0,5.0,3.0,0.09,Single Family,2196.0,No,Yes
9696,Burnaby,BC,2099000.0,4.0,3.0,0.14,Single Family,2124.0,Yes,No
9753,Burnaby,BC,2230000.0,4.0,4.0,0.24,Single Family,2964.0,Yes,No
9764,Burnaby,BC,2598000.0,4.0,3.0,0.21,Single Family,4444.0,Yes,Yes
9734,Burnaby,BC,3188000.0,6.0,6.0,0.09,Single Family,3406.0,Yes,No
11289,Burnaby,BC,3390000.0,6.0,6.0,0.23,Single Family,4797.0,Yes,No
11319,Burnaby,BC,2199900.0,2.0,3.0,0.18,Single Family,2459.0,Yes,Yes
11347,Burnaby,BC,2799000.0,5.0,6.0,0.15,Single Family,3973.0,Yes,No
11358,Burnaby,BC,8420000.0,6.0,2.0,0.39,Single Family,3700.0,Yes,Yes
11373,Burnaby,BC,1999995.0,6.0,6.0,0.14,Single Family,4095.0,No,No
11375,Burnaby,BC,1888000.0,5.0,1.0,0.16,Single Family,1632.0,Yes,Yes
11381,Burnaby,BC,3190000.0,6.0,6.0,0.15,Single Family,3829.0,Yes,No
11394,Burnaby,BC,3250000.0,7.0,6.0,0.16,Single Family,4105.0,Yes,No
4254,Burnaby,BC,1850000.0,4.0,2.0,0.14,Single Family,1728.0,Yes,No
11283,Burnaby,BC,2588888.0,7.0,7.0,0.14,Single Family,3065.0,Yes,No
11182,Burnaby,BC,1800000.0,3.0,1.0,0.15,Single Family,2581.0,Yes,Yes
11209,Burnaby,BC,2198000.0,6.0,4.0,0.16,Single Family,2464.0,No,No
11252,Burnaby,BC,2290000.0,4.0,2.0,0.15,Single Family,2084.0,Yes,Yes
11264,Burnaby,BC,2120000.0,5.0,3.0,0.18,Single Family,2056.0,Yes,Yes
4138,Burnaby,BC,4399999.0,7.0,7.0,0.2,Single Family,4080.0,Yes,Yes
11575,Burnaby,BC,3999900.0,8.0,8.0,0.18,Single Family,4930.0,Yes,No
11591,Burnaby,BC,2800000.0,3.0,3.0,0.22,Single Family,2637.0,Yes,No
11598,Burnaby,BC,3000000.0,4.0,3.0,0.22,Single Family,3163.0,Yes,Yes
4238,Burnaby,BC,3218000.0,8.0,7.0,0.16,Single Family,4368.0,No,No
11440,Burnaby,BC,1933000.0,6.0,3.0,0.17,Single Family,2503.0,Yes,Yes
11454,Burnaby,BC,2380000.0,6.0,3.0,0.18,Single Family,3040.0,Yes,Yes
11467,Burnaby,BC,5188000.0,11.0,9.0,0.23,Single Family,6475.0,Yes,Yes
11473,Burnaby,BC,3088000.0,7.0,9.0,0.15,Single Family,4185.0,Yes,Yes
11490,Burnaby,BC,3200000.0,5.0,3.0,0.25,Single Family,2485.0,No,Yes
11537,Burnaby,BC,1830500.0,5.0,2.0,0.14,Single Family,2200.0,No,No
10802,Burnaby,BC,1998000.0,6.0,3.0,0.11,Single Family,2826.0,Yes,No
10852,Burnaby,BC,3499000.0,8.0,9.0,0.17,Single Family,4600.0,Yes,No
10897,Burnaby,BC,5998000.0,4.0,4.0,0.63,Single Family,1483.0,Yes,No
10901,Burnaby,BC,1799900.0,5.0,3.0,0.09,Single Family,2218.0,Yes,No
10681,Burnaby,BC,2198000.0,5.0,3.0,0.12,Single Family,3224.0,Yes,No
10683,Burnaby,BC,3498000.0,7.0,5.0,0.18,Single Family,4934.0,Yes,No
10687,Burnaby,BC,2980000.0,10.0,6.0,0.21,Single Family,4601.0,Yes,No
10713,Burnaby,BC,2100000.0,4.0,2.0,0.16,Single Family,2080.0,Yes,Yes
10753,Burnaby,BC,2999000.0,3.0,2.0,0.28,Single Family,3059.0,Yes,Yes
4528,Burnaby,BC,1880000.0,6.0,3.0,0.14,Single Family,1878.0,No,No
11080,Burnaby,BC,1670000.0,4.0,3.0,0.14,Single Family,1850.0,Yes,Yes
4415,Burnaby,BC,2998888.0,6.0,5.0,0.29,Single Family,4946.0,Yes,Yes
11105,Burnaby,BC,4388000.0,9.0,10.0,0.17,Single Family,5480.0,Yes,Yes
4390,Burnaby,BC,1958000.0,5.0,2.0,0.2,Single Family,2379.0,Yes,Yes
4426,Burnaby,BC,1675000.0,2.0,1.0,0.13,Single Family,1976.0,Yes,Yes
10960,Burnaby,BC,2388000.0,4.0,3.0,0.15,Single Family,2145.0,Yes,Yes
10985,Burnaby,BC,2380000.0,4.0,2.0,0.14,Single Family,1842.0,Yes,No
11025,Burnaby,BC,1799000.0,4.0,1.0,0.14,Single Family,2297.0,Yes,No
11036,Burnaby,BC,2200000.0,6.0,2.0,0.14,Single Family,1800.0,Yes,No
14329,Burnaby,BC,1928000.0,7.0,6.0,0.16,Single Family,3043.0,No,No
14896,Burnaby,BC,3999000.0,8.0,9.0,0.24,Single Family,6399.0,Yes,No
13724,Burnaby,BC,2998000.0,10.0,9.0,0.14,Single Family,4153.0,Yes,No
14878,Burnaby,BC,3099800.0,8.0,7.0,0.22,Single Family,4423.0,Yes,No
13745,Burnaby,BC,3998000.0,12.0,10.0,0.14,Single Family,5355.0,Yes,Yes
14921,Burnaby,BC,3990000.0,5.0,4.0,0.11,Single Family,2736.0,Yes,No
14938,Burnaby,BC,1798800.0,4.0,3.0,0.29,Single Family,2128.0,No,Yes
14928,Burnaby,BC,2699999.0,5.0,3.0,0.09,Single Family,3167.0,Yes,No
13758,Burnaby,BC,2688000.0,9.0,7.0,0.22,Single Family,4077.0,Yes,Yes
14834,Burnaby,BC,2900000.0,4.0,4.0,0.13,Single Family,3669.0,Yes,No
14832,Burnaby,BC,3780000.0,8.0,6.0,0.33,Single Family,4660.0,Yes,No
14839,Burnaby,BC,2990000.0,7.0,8.0,0.21,Single Family,5577.0,Yes,No
14308,Burnaby,BC,2498000.0,6.0,4.0,0.17,Single Family,3816.0,Yes,No
14857,Burnaby,BC,2299000.0,3.0,3.0,0.24,Single Family,1827.0,Yes,No
14492,Burnaby,BC,1738000.0,4.0,2.0,0.11,Single Family,1592.0,Yes,No
2340,Burnaby,BC,2168000.0,4.0,2.0,0.16,Single Family,2202.0,Yes,No
15085,Burnaby,BC,2970000.0,6.0,3.0,0.15,Single Family,2548.0,Yes,No
13604,Burnaby,BC,2898000.0,5.0,5.0,0.27,Single Family,3643.0,Yes,No
15114,Burnaby,BC,2098000.0,5.0,4.0,0.09,Single Family,2410.0,Yes,No
443,Burnaby,BC,1650000.0,3.0,2.0,0.0,Single Family,1680.0,No,No
1517,Burnaby,BC,1885000.0,4.0,2.0,0.17,Single Family,3189.0,Yes,No
13584,Burnaby,BC,2499000.0,7.0,6.0,0.17,Single Family,4304.0,Yes,No
15003,Burnaby,BC,3680000.0,6.0,7.0,0.18,Single Family,4736.0,Yes,No
14988,Burnaby,BC,3990000.0,7.0,8.0,0.19,Single Family,4729.0,Yes,No
14503,Burnaby,BC,2150000.0,4.0,0.0,0.18,Single Family,1810.0,Yes,Yes
15025,Burnaby,BC,4752000.0,6.0,2.0,0.18,Single Family,2450.0,No,No
14366,Burnaby,BC,2988000.0,7.0,6.0,0.25,Single Family,3982.0,Yes,No
15026,Burnaby,BC,2380000.0,4.0,2.0,0.16,Single Family,1905.0,Yes,No
15074,Burnaby,BC,2168000.0,6.0,3.0,0.17,Single Family,2333.0,No,No
15057,Burnaby,BC,3380000.0,9.0,9.0,0.09,Single Family,4136.0,Yes,Yes
15055,Burnaby,BC,3999000.0,5.0,2.0,0.28,Single Family,2155.0,No,No
15052,Burnaby,BC,1999000.0,5.0,3.0,0.1,Single Family,2270.0,Yes,No
14057,Burnaby,BC,2600000.0,7.0,3.0,0.25,Single Family,3240.0,Yes,Yes
14051,Burnaby,BC,3859000.0,7.0,6.0,0.14,Single Family,4009.0,Yes,Yes
13912,Burnaby,BC,2698000.0,8.0,6.0,0.16,Single Family,4126.0,Yes,No
14147,Burnaby,BC,3188800.0,7.0,5.0,0.23,Single Family,4733.0,Yes,Yes
13919,Burnaby,BC,1375000.0,3.0,2.0,0.09,Single Family,1950.0,Yes,No
1017,Burnaby,BC,2090000.0,6.0,3.0,0.08,Single Family,1966.0,Yes,No
1892,Burnaby,BC,2588000.0,7.0,4.0,0.17,Single Family,2808.0,Yes,No
14002,Burnaby,BC,3980000.0,5.0,7.0,0.22,Single Family,5538.0,Yes,No
14592,Burnaby,BC,2088000.0,6.0,3.0,0.22,Single Family,2733.0,Yes,Yes
1970,Burnaby,BC,4250000.0,6.0,4.0,0.24,Single Family,2131.0,No,No
14625,Burnaby,BC,2988000.0,8.0,6.0,0.22,Single Family,4466.0,Yes,No
14578,Burnaby,BC,3900000.0,1.0,1.0,0.16,Single Family,1935.0,No,Yes
14816,Burnaby,BC,5410000.0,3.0,2.0,0.17,Single Family,2016.0,No,No
13851,Burnaby,BC,4000000.0,6.0,2.0,0.26,Single Family,2125.0,Yes,No
1757,Burnaby,BC,3799000.0,10.0,11.0,0.15,Single Family,5314.0,Yes,No
13854,Burnaby,BC,4000000.0,5.0,1.0,0.26,Single Family,2515.0,No,No
13856,Burnaby,BC,3683000.0,7.0,7.0,0.18,Single Family,4951.0,Yes,No
14811,Burnaby,BC,5410000.0,3.0,1.0,0.17,Single Family,2406.0,No,No
13820,Burnaby,BC,4000000.0,7.0,0.0,0.23,Single Family,4577.0,Yes,No
14237,Burnaby,BC,2798888.0,5.0,4.0,0.09,Single Family,2415.0,Yes,Yes
14795,Burnaby,BC,2538000.0,5.0,4.0,0.17,Single Family,4387.0,Yes,No
14545,Burnaby,BC,3999000.0,6.0,7.0,0.18,Single Family,4811.0,Yes,Yes
14167,Burnaby,BC,2550000.0,5.0,3.0,0.18,Single Family,2492.0,Yes,No
14160,Burnaby,BC,2899000.0,5.0,5.0,0.22,Single Family,5792.0,Yes,No
13870,Burnaby,BC,4000000.0,4.0,4.0,0.26,Single Family,2401.0,Yes,No
14197,Burnaby,BC,1949000.0,9.0,4.0,0.17,Single Family,2812.0,Yes,No
13874,Burnaby,BC,3380000.0,5.0,5.0,0.25,Single Family,2650.0,No,Yes
13570,Burnaby,BC,3396000.0,8.0,9.0,0.21,Single Family,5793.0,No,No
13999,Burnaby,BC,4720000.0,4.0,2.0,0.14,Single Family,2100.0,Yes,No
15575,Burnaby,BC,3180000.0,7.0,5.0,0.25,Single Family,4095.0,Yes,No
13473,Burnaby,BC,3199898.0,6.0,4.0,0.16,Single Family,2268.0,Yes,Yes
15314,Burnaby,BC,6999000.0,6.0,3.0,0.27,Single Family,2723.0,Yes,Yes
15329,Burnaby,BC,4184505.0,3.0,1.0,0.21,Single Family,950.0,Yes,No
15807,Burnaby,BC,2068000.0,5.0,3.0,0.13,Single Family,2700.0,Yes,No
13393,Burnaby,BC,3688000.0,4.0,3.0,0.28,Single Family,2793.0,Yes,Yes
15330,Burnaby,BC,2990000.0,4.0,4.0,0.26,Single Family,4736.0,Yes,No
15574,Burnaby,BC,3088000.0,2.0,2.0,0.09,Single Family,1814.0,Yes,No
