,streetAddress,addressLocality,addressRegion,postalCode,latitude,longitude,price,property-beds,property-baths,property-sqft,Garage,Property Type,Square Footage
12010,"202 5667 SMITH AVENUE, Burnaby, BC V5H 2K7",Burnaby,BC,V5H 2K7,49.2337171,-123.0202991,659000.0,2.0,2.0,900,,Condo,900 SQFT
12009,"5710 SMITH AVENUE, Burnaby, BC V5H 2K9",Burnaby,BC,V5H 2K9,49.2332241,-123.0195463,5499000.0,,0.0,"8,700",,MultiFamily,"8,700 SQFT"
7401,"1006 7388 KINGSWAY, Burnaby, BC V3N 0G9",Burnaby,BC,V3N 0G9,49.2185757,-122.9495349,659000.0,1.0,1.0,655,,Condo,655 SQFT
12007,"5531 BROADWAY, Burnaby, BC V5B 2X8",Burnaby,BC,V5B 2X8,49.266419,-122.9832176,5410000.0,3.0,1.0,"2,406",,Single Family,"2,406 SQFT"
12014,"5521 BROADWAY, Burnaby, BC V5B 2X8",Burnaby,BC,V5B 2X8,49.2664622,-122.9834687,5410000.0,3.0,2.0,"2,016",,Single Family,"2,016 SQFT"
4405,"909 2351 BETA AVENUE, Burnaby, BC V5C 0M2",Burnaby,BC,V5C 0M2,49.2634236,-122.9977824,669000.0,1.0,1.0,626,,Condo,626 SQFT
11994,"803 9262 UNIVERSITY CRESCENT, Burnaby, BC V5A 0A4",Burnaby,BC,V5A 0A4,49.2794833,-122.9044848,949000.0,2.0,2.0,992,,Condo,992 SQFT
11993,"2807 6463 SILVER AVENUE, Burnaby, BC V5H 0K4",Burnaby,BC,V5H 0K4,49.2249375,-123.0070119,1078000.0,2.0,2.0,971,,Condo,971 SQFT
11991,"8008 WOODHURST DRIVE, Burnaby, BC V5A 4E7",Burnaby,BC,V5A 4E7,49.262759,-122.933189,2538000.0,5.0,4.0,"4,387",,Single Family,"4,387 SQFT"
11984,"702 6700 DUNBLANE AVENUE, Burnaby, BC V5H 0J3",Burnaby,BC,V5H 0J3,49.2227754,-122.9922157,938800.0,2.0,2.0,802,,Condo,802 SQFT
11977,"609 7388 KINGSWAY, Burnaby, BC V3N 0G9",Burnaby,BC,V3N 0G9,49.2185757,-122.9495349,643000.0,1.0,1.0,589,,Condo,589 SQFT
11958,"203 5535 HASTINGS STREET, Burnaby, BC V5B 1R2",Burnaby,BC,V5B 1R2,49.2804279,-122.982896,1103482.0,1.0,1.0,818,,Condo,818 SQFT
4419,"7989 MCGREGOR AVENUE, Burnaby, BC V5J 4H4",Burnaby,BC,V5J 4H4,49.2112812,-122.990677,1958000.0,5.0,2.0,"2,379",,Single Family,"2,379 SQFT"
11956,"209 5535 HASTINGS STREET, Burnaby, BC V5B 1R2",Burnaby,BC,V5B 1R2,49.2804279,-122.982896,1191710.0,1.0,1.0,890,,Condo,890 SQFT
11974,"408 8940 UNIVERSITY CRESCENT, Burnaby, BC V5A 4Y8",Burnaby,BC,V5A 4Y8,49.2804027,-122.9086955,699800.0,2.0,2.0,878,,Condo,878 SQFT
11955,"714 9009 CORNERSTONE MEWS, Burnaby, BC V5A 0B9",Burnaby,BC,V5A 0B9,49.2775465,-122.9100341,699900.0,2.0,1.0,708,,Condo,708 SQFT
