,streetAddress,addressLocality,addressRegion,postalCode,latitude,longitude,price,property-beds,property-baths,property-sqft,Garage,Property Type,Square Footage
12583,"3303 2133 DOUGLAS ROAD, Burnaby, BC V5C 0E9",Burnaby,BC,V5C 0E9,49.2646455,-122.991597,1159000.0,2.0,2.0,"1,177",,Condo,"1,177 SQFT"
10991,"7490 CARIBOO ROAD, Burnaby, BC V3N 4A7",Burnaby,BC,V3N 4A7,49.2388978,-122.9065992,4000000.0,6.0,2.0,"2,125",,Single Family,"2,125 SQFT"
4178,"6285 LEIBLY AVENUE, Burnaby, BC V5E 3C7",Burnaby,BC,V5E 3C7,49.22776,-122.9602512,4399999.0,7.0,7.0,"4,080",,Single Family,"4,080 SQFT"
12479,"1907 3888 EVERGREEN PLACE, Burnaby, BC V3J 0M3",Burnaby,BC,V3J 0M3,49.249691,-122.8938104,739000.0,1.0,1.0,569,,Condo,569 SQFT
12852,"3982 PENDER STREET, Burnaby, BC V5C 2L6",Burnaby,BC,V5C 2L6,49.280084,-123.0165579,1649000.0,3.0,3.0,"1,244",,MultiFamily,"1,244 SQFT"
6729,"4402 4720 LOUGHEED HIGHWAY, Burnaby, BC V5C 0M8",Burnaby,BC,V5C 0M8,49.2653451,-122.9953721,2788000.0,3.0,4.0,"2,039",,Condo,"2,039 SQFT"
3989,"706 4132 HALIFAX STREET, Burnaby, BC V5C 6V1",Burnaby,BC,V5C 6V1,49.2676061,-123.0124509,789900.0,2.0,2.0,921,,Condo,921 SQFT
7262,"205 3895 SANDELL STREET, Burnaby, BC V5H 1J9",Burnaby,BC,V5H 1J9,49.2342396,-123.0176115,749000.0,2.0,2.0,892,,Condo,892 SQFT
13122,"701 6288 CASSIE AVENUE, Burnaby, BC V5H 0H7",Burnaby,BC,V5H 0H7,49.2258626,-123.0074036,928800.0,0.0,2.0,814,,Condo,814 SQFT
3992,"4021 GRAVELEY STREET, Burnaby, BC V5C 3T5",Burnaby,BC,V5C 3T5,49.2705414,-123.0154491,2298000.0,3.0,2.0,"1,830",,Single Family,"1,830 SQFT"
7268,"101 7180 BARNET ROAD, Burnaby, BC V5A 1C8",Burnaby,BC,V5A 1C8,49.2821518,-122.9542069,625000.0,1.0,1.0,558,,Condo,558 SQFT
13098,"305 6388 MARLBOROUGH AVENUE, Burnaby, BC V5H 4P4",Burnaby,BC,V5H 4P4,49.2266612,-122.9911876,999999.0,2.0,2.0,940,,Condo,940 SQFT
13092,"6025 DICKENS STREET, Burnaby, BC V5H 1W6",Burnaby,BC,V5H 1W6,49.2270148,-122.9758186,2068000.0,5.0,3.0,"2,700",,Single Family,"2,700 SQFT"
13091,"21 GLYNDE AVENUE, Burnaby, BC V5B 3J3",Burnaby,BC,V5B 3J3,49.284084,-122.9894986,2100000.0,4.0,2.0,"2,454",,Single Family,"2,454 SQFT"
13090,"4860 BOUNDARY ROAD, Burnaby, BC V5R 2N9",Burnaby,BC,V5R 2N9,49.2405737,-123.0232813,3398000.0,5.0,5.0,"2,541",,Single Family,"2,541 SQFT"
13089,"4870 BOUNDARY ROAD, Burnaby, BC V5R 2N9",Burnaby,BC,V5R 2N9,49.2404766,-123.0231701,3398000.0,4.0,0.0,"1,350",,Single Family,"1,350 SQFT"
13088,"3705 PRICE STREET, Burnaby, BC V5G 2K9",Burnaby,BC,V5G 2K9,49.2403239,-123.0232739,3398000.0,4.0,3.0,"2,527",,Single Family,"2,527 SQFT"
13084,"2802 2133 DOUGLAS ROAD, Burnaby, BC V5C 0E9",Burnaby,BC,V5C 0E9,49.2646455,-122.991597,938000.0,2.0,2.0,977,,Condo,977 SQFT
6725,"1904 4465 JUNEAU STREET, Burnaby, BC V5C 0L8",Burnaby,BC,V5C 0L8,49.2637912,-123.0041441,899888.0,2.0,2.0,866,,Condo,866 SQFT
13075,"4104 6383 MCKAY AVENUE, Burnaby, BC V5H 0H8",Burnaby,BC,V5H 0H8,49.2263362,-123.0066066,1690000.0,2.0,2.0,947,,Condo,947 SQFT
4010,"303 4728 DAWSON STREET, Burnaby, BC V5C 0A9",Burnaby,BC,V5C 0A9,49.2639358,-122.9972533,728800.0,2.0,2.0,940,,Condo,940 SQFT
13129,"603 8940 UNIVERSITY CRESCENT, Burnaby, BC V5A 4Y8",Burnaby,BC,V5A 4Y8,49.2804027,-122.9086955,699990.0,2.0,2.0,886,,Condo,886 SQFT
7259,"4848 FRANCES STREET, Burnaby, BC V5C 2S4",Burnaby,BC,V5C 2S4,49.2789453,-122.9930278,1868000.0,5.0,3.0,"2,352",,Single Family,"2,352 SQFT"
7253,"313 7131 STRIDE AVENUE, Burnaby, BC V3N0E3",Burnaby,BC,V3N0E3,49.2132769,-122.9526745,745000.0,2.0,2.0,866,,Condo,866 SQFT
3892,"3805 4720 LOUGHEED HIGHWAY, Burnaby, BC V5C 0M8",Burnaby,BC,V5C 0M8,49.2654886,-122.9959262,688000.0,1.0,1.0,534,,Condo,534 SQFT
3935,"4354 HALLEY AVENUE, Burnaby, BC V5G 3C7",Burnaby,BC,V5G 3C7,49.2452133,-123.009383,2428800.0,6.0,3.0,"2,845",,Single Family,"2,845 SQFT"
7255,"7629 14TH AVENUE, Burnaby, BC V3N 2A4",Burnaby,BC,V3N 2A4,49.2196246,-122.9374364,1799000.0,4.0,4.0,"1,998",,Single Family,"1,998 SQFT"
13191,"7280 15TH AVENUE, Burnaby, BC V3N 4Z7",Burnaby,BC,V3N 4Z7,49.2151355,-122.9467337,2988000.0,9.0,4.0,"3,370",,Single Family,"3,370 SQFT"
13177,"4305 4485 SKYLINE DRIVE, Burnaby, BC V5C 0J2",Burnaby,BC,V5C 0J2,49.2657153,-123.0035906,1288000.0,2.0,2.0,847,,Condo,847 SQFT
13174,"2705 1955 ALPHA WAY, Burnaby, BC V5C 0K6",Burnaby,BC,V5C 0K6,49.2668115,-123.0007786,968888.0,1.0,1.0,531,,Condo,531 SQFT
13173,"2704 1955 ALPHA WAY, Burnaby, BC V5C 0K6",Burnaby,BC,V5C 0K6,49.2668115,-123.0007786,968888.0,1.0,1.0,531,,Condo,531 SQFT
13168,"606 8940 UNIVERSITY CRESCENT, Burnaby, BC V5A 0E7",Burnaby,BC,V5A 0E7,49.2804027,-122.9086955,733800.0,2.0,2.0,890,,Condo,890 SQFT
6732,"4322 GRAVELEY STREET, Burnaby, BC V5C 3T8",Burnaby,BC,V5C 3T8,49.269979,-123.00787,2198000.0,5.0,3.0,"2,196",,Single Family,"2,196 SQFT"
13149,"1701 2288 ALPHA AVENUE, Burnaby, BC V5C 0L9",Burnaby,BC,V5C 0L9,49.2635425,-122.9998239,835000.0,2.0,2.0,752,,Condo,752 SQFT
13139,"6539 ROYAL OAK AVENUE, Burnaby, BC V5H 3P3",Burnaby,BC,V5H 3P3,49.224193,-122.9893074,20000000.0,,0.0,"14,531",,Townhome,"14,531 SQFT"
7256,"7806 12TH AVENUE, Burnaby, BC V3N 2K5",Burnaby,BC,V3N 2K5,49.2193165,-122.9312472,2368000.0,7.0,5.0,"4,359",,Single Family,"4,359 SQFT"
13135,"306 4488 JUNEAU STREET, Burnaby, BC V5C 0M4",Burnaby,BC,V5C 0M4,49.2634288,-123.0036019,1568000.0,3.0,2.0,"1,212",,Condo,"1,212 SQFT"
13132,"2108 6699 DUNBLANE AVENUE, Burnaby, BC V5H 0J8",Burnaby,BC,V5H 0J8,49.2231602,-122.9929446,999000.0,2.0,2.0,760,,Condo,760 SQFT
13071,"1601 6398 SILVER AVENUE, Burnaby, BC V5H 0K7",Burnaby,BC,V5H 0K7,49.2250022,-123.0055424,1299000.0,3.0,2.0,"1,099",,Condo,"1,099 SQFT"
13066,"1709 6538 NELSON AVENUE, Burnaby, BC V5H 0G5",Burnaby,BC,V5H 0G5,49.224346,-122.9937729,898000.0,2.0,2.0,753,,Condo,753 SQFT
12944,"506 2288 ALPHA AVENUE, Burnaby, BC V5C 0L9",Burnaby,BC,V5C 0L9,49.2635425,-122.9998239,699800.0,1.0,1.0,624,,Condo,624 SQFT
12941,"3605 4458 BERESFORD STREET, Burnaby, BC V5H 0J1",Burnaby,BC,V5H 0J1,49.2256248,-123.0048434,759900.0,1.0,1.0,577,,Condo,577 SQFT
7290,"409 9319 UNIVERSITY CRESCENT, Burnaby, BC V5A 4Y5",Burnaby,BC,V5A 4Y5,49.2778715,-122.9052175,554900.0,2.0,2.0,884,,Condo,884 SQFT
12938,"215 9888 UNIVERSITY CRESCENT, Burnaby, BC V5A 0G4",Burnaby,BC,V5A 0G4,49.2757475,-122.908985,496000.0,1.0,1.0,616,,Condo,616 SQFT
12937,"4004 4880 LOUGHEED HIGHWAY, Burnaby, BC V5C 0N1",Burnaby,BC,V5C 0N1,49.2651903,-122.9927966,1085952.0,2.0,2.0,910,,Condo,910 SQFT
12922,"4907 4730 LOUGHEED HIGHWAY, Burnaby, BC V5C 0M9",Burnaby,BC,V5C 0M9,49.2660078,-122.9968197,3288000.0,3.0,4.0,"2,046",,Condo,"2,046 SQFT"
12915,"702 6463 SILVER AVENUE, Burnaby, BC V5H 0K4",Burnaby,BC,V5H 0K4,49.2249375,-123.0070119,939000.0,2.0,2.0,756,,Condo,756 SQFT
12902,"3403 4880 LOUGHEED HIGHWAY, Burnaby, BC V5C 0N1",Burnaby,BC,V5C 0N1,49.2651903,-122.9927966,1150000.0,2.0,2.0,868,,Condo,868 SQFT
12866,"115 6588 ELGIN AVENUE, Burnaby, BC V5H 3S6",Burnaby,BC,V5H 3S6,49.2243761,-122.98195,430000.0,0.0,1.0,442,,Condo,442 SQFT
12853,"602 8940 UNIVERSITY CRESCENT, Burnaby, BC V5A 0E7",Burnaby,BC,V5A 0E7,49.2804027,-122.9086955,718000.0,2.0,2.0,924,,Condo,924 SQFT
7308,"3002 7088 18TH AVENUE, Burnaby, BC V3N 0A2",Burnaby,BC,V3N 0A2,49.213206,-122.956234,848800.0,2.0,2.0,927,,Condo,927 SQFT
7313,"2505 4988 BENNETT STREET, Burnaby, BC V0V 0V0",Burnaby,BC,V0V 0V0,49.2247834,-122.9931789,803900.0,1.0,1.0,647,,Condo,647 SQFT
7288,"2307 6080 MCKAY AVENUE, Burnaby, BC V5H 0J4",Burnaby,BC,V5H 0J4,49.2282319,-123.0035719,1000000.0,2.0,2.0,809,,Condo,809 SQFT
7280,"503 6538 NELSON AVENUE, Burnaby, BC V5H 0G5",Burnaby,BC,V5H 0G5,49.224346,-122.9937729,1098000.0,3.0,2.0,"1,001",,Condo,"1,001 SQFT"
12953,"4002 4890 LOUGHEED HIGHWAY, Burnaby, BC V5C 0N2",Burnaby,BC,V5C 0N2,49.2651874,-122.9927837,1489000.0,2.0,2.0,"1,053",,Condo,"1,053 SQFT"
12963,"PH47 5355 LANE STREET, Burnaby, BC V5H 0H1",Burnaby,BC,V5H 0H1,49.222797,-122.9865126,959999.0,3.0,2.0,876,,Condo,876 SQFT
13062,"4271 MAYWOOD STREET, Burnaby, BC V5H 2J5",Burnaby,BC,V5H 2J5,49.2241664,-123.0092215,5300000.0,,0.0,"7,130",,MultiFamily,"7,130 SQFT"
13017,"314 6968 ROYAL OAK AVENUE, Burnaby, BC V5J 4J2",Burnaby,BC,V5J 4J2,49.2203583,-122.9881577,639800.0,1.0,1.0,611,,Condo,611 SQFT
13012,"3102 4360 BERESFORD STREET, Burnaby, BC V5H 0G2",Burnaby,BC,V5H 0G2,49.2269079,-123.007826,1798000.0,3.0,2.0,"1,379",,Condo,"1,379 SQFT"
13009,"1704 5051 IMPERIAL STREET, Burnaby, BC V5J 0J3",Burnaby,BC,V5J 0J3,49.2221144,-122.9920899,1198000.0,3.0,2.0,"1,123",,Condo,"1,123 SQFT"
13008,"5302 4670 ASSEMBLY WAY, Burnaby, BC V5H 0H3",Burnaby,BC,V5H 0H3,49.2281534,-123.0024659,1560000.0,2.0,3.0,"1,150",,Condo,"1,150 SQFT"
13007,"5538 MEADEDALE DRIVE, Burnaby, BC V5B 2E8",Burnaby,BC,V5B 2E8,49.274104,-122.9821092,3650000.0,7.0,6.0,"4,320",,Single Family,"4,320 SQFT"
13003,"209 5535 HASTINGS STREET, Burnaby, BC V5B 1R2",Burnaby,BC,V5B 1R2,49.2804279,-122.982896,1191710.0,,0.0,890,,MultiFamily,890 SQFT
12999,"5803 6461 TELFORD AVENUE, Burnaby, BC V5H 0B7",Burnaby,BC,V5H 0B7,49.225121,-123.004072,583000.0,1.0,1.0,477,,Condo,477 SQFT
12980,"4001 4890 LOUGHEED HIGHWAY, Burnaby, BC V5C 0N2",Burnaby,BC,V5C 0N2,49.2651874,-122.9927837,790000.0,1.0,1.0,545,,Condo,545 SQFT
12968,"4644 UNION STREET, Burnaby, BC V5C 2Y3",Burnaby,BC,V5C 2Y3,49.2771562,-122.9987087,1888000.0,4.0,2.0,"1,900",,Single Family,"1,900 SQFT"
12967,"5565 GILPIN STREET, Burnaby, BC V5H 2H8",Burnaby,BC,V5H 2H8,49.2420421,-122.9827655,2398000.0,4.0,3.0,"2,400",,Single Family,"2,400 SQFT"
7270,"3970 EDINBURGH STREET, Burnaby, BC V5C 1R7",Burnaby,BC,V5C 1R7,49.290816,-123.016959,2299000.0,2.0,2.0,"1,510",,Single Family,"1,510 SQFT"
12964,"7279 BROADWAY, Burnaby, BC V5A 1S1",Burnaby,BC,V5A 1S1,49.261471,-122.951221,3800000.0,7.0,3.0,"3,996",,Single Family,"3,996 SQFT"
13002,"203 5535 HASTINGS STREET, Burnaby, BC V5B 1R2",Burnaby,BC,V5B 1R2,49.2804279,-122.982896,1103482.0,,0.0,818,,MultiFamily,818 SQFT
10982,"1701 4168 LOUGHEED HIGHWAY, Burnaby, BC V5C 0N9",Burnaby,BC,V5C 0N9,49.2661042,-123.012536,619000.0,1.0,1.0,525,,Condo,525 SQFT
10981,"1711 4168 LOUGHEED HIGHWAY, Burnaby, BC V5C 0N9",Burnaby,BC,V5C 0N9,49.2661042,-123.012536,619000.0,1.0,1.0,545,,Condo,545 SQFT
10976,"3101 4458 BERESFORD STREET, Burnaby, BC V5H 0J1",Burnaby,BC,V5H 0J1,49.2256248,-123.0048434,756800.0,1.0,1.0,620,,Condo,620 SQFT
9132,"802 3888 EVERGREEN PLACE, Burnaby, BC V3J 0M3",Burnaby,BC,V3J 0M3,49.249691,-122.8938104,895000.0,2.0,2.0,972,,Condo,972 SQFT
9135,"708 3888 EVERGREEN PLACE, Burnaby, BC V3J 0M3",Burnaby,BC,V3J 0M3,49.249691,-122.8938104,879000.0,2.0,2.0,897,,Condo,897 SQFT
9138,"1501 6538 NELSON AVENUE, Burnaby, BC V5H 0G5",Burnaby,BC,V5H 0G5,49.224346,-122.9937729,899000.0,2.0,2.0,851,,Condo,851 SQFT
9141,"808 2425 ALPHA AVENUE, Burnaby, BC V5C 0N6",Burnaby,BC,V5C 0N6,49.2625734,-123.0005502,689000.0,1.0,1.0,646,,Condo,646 SQFT
9146,"304 3888 EVERGREEN PLACE, Burnaby, BC V3J 0M3",Burnaby,BC,V3J 0M3,49.249691,-122.8938104,849000.0,2.0,2.0,945,,Condo,945 SQFT
9152,"4 7188 EDMONDS STREET, Burnaby, BC V3N 4X6",Burnaby,BC,V3N 4X6,49.216332,-122.9536348,988000.0,3.0,2.0,"1,220",,Townhome,"1,220 SQFT"
9172,"1908 4178 DAWSON STREET, Burnaby, BC V5C 0A1",Burnaby,BC,V5C 0A1,49.2643736,-123.0120885,749000.0,2.0,2.0,889,,Condo,889 SQFT
9129,"408 9233 GOVERNMENT STREET, Burnaby, BC V3N 0A3",Burnaby,BC,V3N 0A3,49.2470668,-122.9026341,789900.0,2.0,2.0,"1,016",,Condo,"1,016 SQFT"
9178,"2008 6511 SUSSEX AVENUE, Burnaby, BC V5H 0K5",Burnaby,BC,V5H 0K5,49.2244388,-123.0029375,999000.0,3.0,2.0,933,,Condo,933 SQFT
9210,"1003 4711 HAZEL STREET, Burnaby, BC V5H 0J9",Burnaby,BC,V5H 0J9,49.2293447,-122.997897,749900.0,1.0,1.0,592,,Condo,592 SQFT
9240,"705 4488 JUNEAU STREET, Burnaby, BC V5C 0M4",Burnaby,BC,V5C 0M4,49.2634288,-123.0036019,645000.0,1.0,1.0,550,,Condo,550 SQFT
9246,"3001 4688 KINGSWAY, Burnaby, BC V5H 0E9",Burnaby,BC,V5H 0E9,49.2287559,-123.0014456,999000.0,2.0,2.0,901,,Condo,901 SQFT
9256,"501 5311 GORING STREET, Burnaby, BC V5B 0B5",Burnaby,BC,V5B 0B5,49.263299,-122.9871419,889000.0,2.0,2.0,886,,Condo,886 SQFT
9259,"406 2378 ALPHA AVENUE, Burnaby, BC V5C 0K2",Burnaby,BC,V5C 0K2,49.2629687,-123.0002697,799000.0,2.0,2.0,769,,Condo,769 SQFT
9195,"1010 2108 GILMORE AVENUE, Burnaby, BC V5C 0N8",Burnaby,BC,V5C 0N8,49.265457,-123.0130449,748000.0,2.0,2.0,710,,Condo,710 SQFT
9262,"102 7161 17TH AVENUE, Burnaby, BC V3N 1K8",Burnaby,BC,V3N 1K8,49.2147596,-122.9534353,648000.0,1.0,1.0,617,,Condo,617 SQFT
9128,"504 8761 UNIVERSITY CRESCENT, Burnaby, BC V5A 4Y8",Burnaby,BC,V5A 4Y8,49.2799961,-122.9088637,699000.0,2.0,2.0,940,,Condo,940 SQFT
9106,"421 9867 MANCHESTER DRIVE, Burnaby, BC V3N 4P6",Burnaby,BC,V3N 4P6,49.246907,-122.896382,495000.0,1.0,1.0,708,,Condo,708 SQFT
9003,"404 2425 ALPHA AVENUE, Burnaby, BC V5C 0N6",Burnaby,BC,V5C 0N6,49.2625734,-123.0005502,579900.0,1.0,1.0,546,,Condo,546 SQFT
9005,"305 3399 NOEL DRIVE, Burnaby, BC V3J 0G8",Burnaby,BC,V3J 0G8,49.2538916,-122.9052662,824900.0,2.0,2.0,817,,Condo,817 SQFT
9009,"216 7131 STRIDE AVENUE, Burnaby, BC V3N 0E3",Burnaby,BC,V3N 0E3,49.2132769,-122.9526745,644900.0,1.0,1.0,676,,Condo,676 SQFT
9015,"1105 7225 ACORN AVENUE, Burnaby, BC V5E 0A9",Burnaby,BC,V5E 0A9,49.2177108,-122.9558212,724999.0,2.0,2.0,832,,Condo,832 SQFT
9017,"806 3809 EVERGREEN PLACE, Burnaby, BC V3J 0M1",Burnaby,BC,V3J 0M1,49.2501393,-122.8940917,1249900.0,3.0,2.0,"1,241",,Condo,"1,241 SQFT"
10289,"4470 ALBERT STREET, Burnaby, BC V5C 2G2",Burnaby,BC,V5C 2G2,49.2817266,-123.0035871,1888000.0,3.0,2.0,"1,702",,Single Family,"1,702 SQFT"
9020,"506 9228 SLOPES MEWS, Burnaby, BC V5A 0E9",Burnaby,BC,V5A 0E9,49.2768684,-122.9073294,588000.0,2.0,2.0,825,,Condo,825 SQFT
9107,"219 368 ELLESMERE AVENUE, Burnaby, BC V5B 3S9",Burnaby,BC,V5B 3S9,49.281241,-122.981755,829888.0,2.0,2.0,958,,Townhome,958 SQFT
9032,"207 5788 SIDLEY STREET, Burnaby, BC V5J 5E5",Burnaby,BC,V5J 5E5,49.216853,-122.9807,798000.0,2.0,2.0,908,,Condo,908 SQFT
9047,"3347 LAKEDALE AVENUE, Burnaby, BC V5A 3C9",Burnaby,BC,V5A 3C9,49.2538033,-122.9265698,3699000.0,9.0,9.0,"7,051",,Single Family,"7,051 SQFT"
9051,"12 9088 HALSTON COURT, Burnaby, BC V3N 0A7",Burnaby,BC,V3N 0A7,49.247603,-122.905107,1169000.0,3.0,3.0,"1,319",,Townhome,"1,319 SQFT"
9054,"3802 4890 LOUGHEED HIGHWAY, Burnaby, BC V5C 0N2",Burnaby,BC,V5C 0N2,49.2651874,-122.9927837,1369200.0,2.0,2.0,"1,026",,Condo,"1,026 SQFT"
9055,"5407 4880 LOUGHEED HIGHWAY, Burnaby, BC V5C 0N1",Burnaby,BC,V5C 0N1,49.2651903,-122.9927966,2698500.0,3.0,3.0,"1,819",,Condo,"1,819 SQFT"
9068,"3204 4890 LOUGHEED HIGHWAY, Burnaby, BC V5C 0N2",Burnaby,BC,V5C 0N2,49.2651874,-122.9927837,999000.0,2.0,2.0,745,,Condo,745 SQFT
9074,"3724 CARDIFF STREET, Burnaby, BC V5G 2G9",Burnaby,BC,V5G 2G9,49.2407649,-123.0226505,3088000.0,5.0,3.0,"2,982",,Single Family,"2,982 SQFT"
9083,"111 5335 HASTINGS STREET, Burnaby, BC V5B 1P9",Burnaby,BC,V5B 1P9,49.2807205,-122.9859377,524900.0,1.0,1.0,810,,Condo,810 SQFT
9046,"311 4788 HASTINGS STREET, Burnaby, BC V5C 0P3",Burnaby,BC,V5C 0P3,49.2808915,-122.99493,875000.0,2.0,2.0,854,,Condo,854 SQFT
9267,"3807 4720 LOUGHEED HIGHWAY, Burnaby, BC V5C 0M8",Burnaby,BC,V5C 0M8,49.2654886,-122.9959262,1278800.0,2.0,2.0,996,,Condo,996 SQFT
9268,"855 MACDONALD AVENUE, Burnaby, BC V5C 4N3",Burnaby,BC,V5C 4N3,49.276944,-123.0166609,2190000.0,4.0,1.0,"1,938",,Single Family,"1,938 SQFT"
9409,"610 5860 OLIVE AVENUE, Burnaby, BC V0V 0V0",Burnaby,BC,V0V 0V0,49.2310362,-123.0099193,969900.0,2.0,2.0,829,,Condo,829 SQFT
9411,"1902 5860 OLIVE AVENUE, Burnaby, BC V0V 0V0",Burnaby,BC,V0V 0V0,49.2310362,-123.0099193,1079900.0,2.0,2.0,857,,Condo,857 SQFT
9412,"1307 4720 LOUGHEED HIGHWAY, Burnaby, BC V5C 0M8",Burnaby,BC,V5C 0M8,49.2654886,-122.9959262,628000.0,1.0,1.0,535,,Condo,535 SQFT
9413,"307 6537 TELFORD AVENUE, Burnaby, BC V5H 0K9",Burnaby,BC,V5H 0K9,49.2245617,-123.0048299,799999.0,2.0,2.0,902,,Condo,902 SQFT
9414,"2501 5860 OLIVE AVENUE, Burnaby, BC V0V 0V0",Burnaby,BC,V0V 0V0,49.2310362,-123.0099193,997900.0,2.0,2.0,842,,Condo,842 SQFT
9415,"1501 9080 UNIVERSITY CRESCENT, Burnaby, BC V5A 0B7",Burnaby,BC,V5A 0B7,49.2802971,-122.9072684,1420000.0,3.0,2.0,"1,498",,Condo,"1,498 SQFT"
9406,"2303 6288 CASSIE AVENUE, Burnaby, BC V5H 0H7",Burnaby,BC,V5H 0H7,49.2258626,-123.0074036,929000.0,2.0,2.0,844,,Condo,844 SQFT
9439,"1605 4118 DAWSON STREET, Burnaby, BC V5C 0A3",Burnaby,BC,V5C 0A3,49.264018,-123.013528,599000.0,1.0,1.0,623,,Condo,623 SQFT
9446,"215 4373 HALIFAX STREET, Burnaby, BC V5C 5Z2",Burnaby,BC,V5C 5Z2,49.2681535,-123.0062642,520000.0,1.0,1.0,696,,Condo,696 SQFT
9447,"114 7599 15TH STREET, Burnaby, BC V3N 0H9",Burnaby,BC,V3N 0H9,49.2145803,-122.947412,799900.0,2.0,2.0,842,,Condo,842 SQFT
9456,"108 7588 16TH STREET, Burnaby, BC V3N 0H8",Burnaby,BC,V3N 0H8,49.2141679,-122.9482972,629888.0,1.0,1.0,628,,Condo,628 SQFT
9467,"2901 2388 MADISON AVENUE, Burnaby, BC V5C 0K8",Burnaby,BC,V5C 0K8,49.2629537,-123.0081528,938800.0,2.0,2.0,928,,Condo,928 SQFT
9470,"305 4728 DAWSON STREET, Burnaby, BC V5C 0A9",Burnaby,BC,V5C 0A9,49.2639358,-122.9972533,849000.0,2.0,2.0,988,,Condo,988 SQFT
9437,"4378 BRIARWOOD CRESCENT, Burnaby, BC V5G 2M6",Burnaby,BC,V5G 2M6,49.238858,-123.0059759,2480000.0,5.0,3.0,"2,400",,Single Family,"2,400 SQFT"
9402,"1707 6638 DUNBLANE AVENUE, Burnaby, BC V5H 0G8",Burnaby,BC,V5H 0G8,49.2234189,-122.9921505,939900.0,2.0,2.0,922,,Condo,922 SQFT
9401,"201 5460 BROADWAY, Burnaby, BC V5B 0B4",Burnaby,BC,V5B 0B4,49.2660049,-122.9843449,849000.0,2.0,2.0,864,,Condo,864 SQFT
9395,"904 5860 OLIVE AVENUE, Burnaby, BC V0V 0V0",Burnaby,BC,V0V 0V0,49.2310362,-123.0099193,921900.0,2.0,2.0,849,,Condo,849 SQFT
9275,"881 MACDONALD AVENUE, Burnaby, BC V5C 4N3",Burnaby,BC,V5C 4N3,49.2767915,-123.0166615,2490000.0,8.0,4.0,"2,526",,Single Family,"2,526 SQFT"
9282,"202 9288 UNIVERSITY CRESCENT, Burnaby, BC V5A 4X7",Burnaby,BC,V5A 4X7,49.2786273,-122.9036843,399000.0,1.0,1.0,422,,Condo,422 SQFT
9303,"5720 CURTIS STREET, Burnaby, BC V5B 2A2",Burnaby,BC,V5B 2A2,49.2749918,-122.9802625,2499000.0,6.0,4.0,"2,990",,Single Family,"2,990 SQFT"
9305,"803 2288 ALPHA AVENUE, Burnaby, BC V5C 0L9",Burnaby,BC,V5C 0L9,49.2635425,-122.9998239,838000.0,2.0,2.0,798,,Condo,798 SQFT
9306,"406 9877 UNIVERSITY CRESCENT, Burnaby, BC V5A 0E5",Burnaby,BC,V5A 0E5,49.2763863,-122.9088814,560000.0,2.0,1.0,760,,Condo,760 SQFT
9317,"704 4433 ALASKA STREET, Burnaby, BC V5C 5T3",Burnaby,BC,V5C 5T3,49.2628157,-123.0040913,959900.0,2.0,2.0,898,,Condo,898 SQFT
9318,"1802 4433 ALASKA STREET, Burnaby, BC V5C 5T3",Burnaby,BC,V5C 5T3,49.2628157,-123.0040913,949400.0,2.0,2.0,876,,Condo,876 SQFT
9319,"301 9150 UNIVERSITY HIGH STREET, Burnaby, BC V5A 0C5",Burnaby,BC,V5A 0C5,49.2772981,-122.9084918,678000.0,1.0,2.0,987,,Condo,987 SQFT
9320,"1702 4433 ALASKA STREET, Burnaby, BC V5C 5T3",Burnaby,BC,V5C 5T3,49.2628157,-123.0040913,945900.0,2.0,2.0,876,,Condo,876 SQFT
9322,"2201 4433 ALASKA STREET, Burnaby, BC V5C 5T3",Burnaby,BC,V5C 5T3,49.2628157,-123.0040913,1779900.0,3.0,3.0,"1,420",,Condo,"1,420 SQFT"
9333,"7165 PAULUS CRESCENT, Burnaby, BC V5A 1P4",Burnaby,BC,V5A 1P4,49.262406,-122.954995,3498000.0,10.0,7.0,"4,461",,Single Family,"4,461 SQFT"
9347,"5240 HALLEY AVENUE, Burnaby, BC V5H 2P8",Burnaby,BC,V5H 2P8,49.2366254,-123.0085598,3320000.0,5.0,3.0,"2,739",,Single Family,"2,739 SQFT"
9351,"1104 4880 LOUGHEED HIGHWAY, Burnaby, BC V5C 0N1",Burnaby,BC,V5C 0N1,49.2651903,-122.9927966,1028880.0,2.0,2.0,910,,Condo,910 SQFT
9358,"501 3399 NOEL DRIVE, Burnaby, BC V3J 0G8",Burnaby,BC,V3J 0G8,49.2538916,-122.9052662,918000.0,2.0,2.0,918,,Condo,918 SQFT
9360,"1502 9080 UNIVERSITY CRESCENT, Burnaby, BC V5A 0B7",Burnaby,BC,V5A 0B7,49.2802971,-122.9072684,1180000.0,3.0,2.0,"1,493",,Condo,"1,493 SQFT"
9367,"905 5885 OLIVE AVENUE, Burnaby, BC V5H 4N8",Burnaby,BC,V5H 4N8,49.231533,-123.010436,789000.0,2.0,2.0,"1,090",,Condo,"1,090 SQFT"
9374,"5698 CLINTON STREET, Burnaby, BC V5J 2M1",Burnaby,BC,V5J 2M1,49.2127897,-122.9808722,3189000.0,8.0,5.0,"3,767",,Single Family,"3,767 SQFT"
8969,"7040 HALIFAX STREET, Burnaby, BC V5A 1L8",Burnaby,BC,V5A 1L8,49.2677369,-122.9576394,1599000.0,4.0,2.0,"2,138",,Single Family,"2,138 SQFT"
